Quarter,Effective_Date,Refinancing_Rate_Pct,Note
2017-Q1,01/01/2017,6.5,Duy trì ổn định
2017-Q2,01/04/2017,6.25,Giảm 0.25% từ 10/07/2017
2017-Q3,10/07/2017,6.25,Cắt giảm lần đầu 2017
2017-Q4,01/10/2017,6.25,Duy trì
2018-Q1,01/01/2018,6.25,Duy trì ổn định
2018-Q2,01/04/2018,6.25,Duy trì ổn định
2018-Q3,01/07/2018,6.25,Duy trì ổn định
2018-Q4,01/10/2018,6.25,Duy trì ổn định
2019-Q1,01/01/2019,6.25,Duy trì ổn định
2019-Q2,01/04/2019,6.25,Duy trì ổn định
2019-Q3,16/09/2019,6,Cắt giảm 0.25% từ 16/09/2019
2019-Q4,01/10/2019,6,Duy trì sau cắt giảm
2020-Q1,17/03/2020,5,COVID-19 - Cắt giảm 1% từ 17/03/2020
2020-Q2,13/05/2020,4.5,COVID-19 - Cắt giảm thêm 0.5% từ 13/05/2020
2020-Q3,01/07/2020,4.5,Duy trì
2020-Q4,01/10/2020,4,COVID-19 - Cắt giảm thêm 0.5% từ 01/10/2020
2021-Q1,01/01/2021,4,Duy trì mức thấp lịch sử
2021-Q2,01/04/2021,4,Duy trì - Làn sóng 4 bắt đầu
2021-Q3,01/07/2021,4,Duy trì - HCM đang phong tỏa
2021-Q4,01/10/2021,4,Duy trì - HCM mở cửa trở lại
2022-Q1,01/01/2022,4,Duy trì - Kinh tế phục hồi
2022-Q2,01/04/2022,4,Duy trì đến hết dataset (20/06/2022)
