Quarter,District,AvgPrice,log_price,covid_dummy,GRDP,CPI,Effective_Date,Refinancing_Rate_Pct
2017Q1,District 1,95.73844444444444,4.561619936124455,0,842376,3.520257,01/01/2017,6.5
2017Q2,District 1,97.78175824175824,4.5827380385981416,0,842376,3.520257,01/04/2017,6.25
2017Q3,District 1,124.14989130434782,4.8214896364350475,0,842376,3.520257,10/07/2017,6.25
2017Q4,District 1,122.50945652173914,4.808188223101146,0,842376,3.520257,01/10/2017,6.25
2018Q1,District 1,119.52388888888889,4.78351625841281,0,907058,3.539628,01/01/2018,6.25
2018Q2,District 1,134.14274725274726,4.8989045109505165,0,907058,3.539628,01/04/2018,6.25
2018Q3,District 1,142.92086956521737,4.962291117416139,0,907058,3.539628,01/07/2018,6.25
2018Q4,District 1,148.70413043478263,5.001958630045922,0,907058,3.539628,01/10/2018,6.25
2019Q1,District 1,176.76766666666666,5.174836252634156,0,978308,2.795824,01/01/2019,6.25
2019Q2,District 1,220.13065934065932,5.394221276153841,0,978308,2.795824,01/04/2019,6.25
2019Q3,District 1,241.0483695652174,5.484997616942498,0,978308,2.795824,16/09/2019,6.0
2019Q4,District 1,263.55326086956524,5.574255476093446,0,978308,2.795824,01/10/2019,6.0
2020Q1,District 1,232.87428571428572,5.450498761667604,1,991424,3.220934,17/03/2020,5.0
2020Q2,District 1,216.8734065934066,5.379313803554394,1,991424,3.220934,13/05/2020,4.5
2020Q3,District 1,227.97108695652173,5.429218809318968,1,991424,3.220934,01/07/2020,4.5
2020Q4,District 1,229.07076923076923,5.4340309917546925,1,991424,3.220934,01/10/2020,4.0
2021Q1,District 1,231.35922222222223,5.443971577200495,1,924367,1.834716,01/01/2021,4.0
2021Q2,District 1,239.14714285714285,5.477079022980479,1,924367,1.834716,01/04/2021,4.0
2021Q3,District 1,237.82782608695652,5.4715469920743995,1,924367,1.834716,01/07/2021,4.0
2021Q4,District 1,238.48434782608697,5.474303680611237,0,924367,1.834716,01/10/2021,4.0
